user:~$ rosrun simple_controller R1.py
[INFO] [1550382016.020681, 84.309000]: Got Status:
[INFO] [1550382498.385974, 124.738000]: 3
[INFO] [1550382500.304919, 124.904000]: Got Nextiteration points
[INFO] [1550382500.305619, 124.904000]: Published Position
[INFO] [1550382500.306539, 124.904000]: Points of Robot 2
[INFO] [1550382500.307195, 124.904000]: 2.86
[INFO] [1550382500.307897, 124.904000]: 4.94
[INFO] [1550382500.308616, 124.904000]: Goal Position is:
[INFO] [1550382500.309346, 124.904000]: 2.38173650492
[INFO] [1550382500.310076, 124.904000]: 4.22425338131
[INFO] [1550382500.311358, 124.904000]: FinishedIteration
[INFO] [1550382500.312110, 124.904000]: 2.26217063115
[INFO] [1550382500.312967, 124.904000]: 4.04531672664
[INFO] [1550382500.313588, 124.904000]: 3
[INFO] [1550382500.314457, 124.904000]: Waiting for next iteration value:
[INFO] [1550382500.315073, 124.904000]: 0
[INFO] [1550382500.316499, 124.905000]: 4
[INFO] [1550382500.317185, 124.905000]: 0
[INFO] [1550382506.991865, 125.339000]: Got Location from Robot2
[INFO] [1550382506.992371, 125.339000]: 2.81@4.75
[INFO] [1550382509.562519, 125.504000]: Published Status
[INFO] [1550382509.562919, 125.504000]: Waiting for Status
[INFO] [1550382510.041153, 125.539000]: Got Status:
[INFO] [1550382510.041531, 125.539000]: 3
[INFO] [1550382512.612354, 125.704000]: Got Nextiteration points
[INFO] [1550382512.613027, 125.704000]: Published Position
[INFO] [1550382512.613494, 125.704000]: Points of Robot 2
[INFO] [1550382512.614374, 125.704000]: 2.81
[INFO] [1550382512.614807, 125.704000]: 4.75
[INFO] [1550382512.615606, 125.704000]: Goal Position is:
[INFO] [1550382512.616084, 125.704000]: 2.37173880321
[INFO] [1550382512.616856, 125.704000]: 4.18625743052
[INFO] [1550382512.617464, 125.704000]: FinishedIteration
[INFO] [1550382512.618243, 125.704000]: 2.26217350401
[INFO] [1550382512.618691, 125.704000]: 4.04532178815
[INFO] [1550382512.619466, 125.704000]: 4
[INFO] [1550382512.619946, 125.704000]: Waiting for next iteration value:
[INFO] [1550382512.620410, 125.704000]: 0
[INFO] [1550382512.621167, 125.704000]: 5
[INFO] [1550382512.621613, 125.704000]: 0
[INFO] [1550382519.495752, 126.138000]: Got Location from Robot2
[INFO] [1550382519.496165, 126.138000]: 2.74@4.56
[INFO] [1550382522.050371, 126.304000]: Published Status
[INFO] [1550382522.051247, 126.304000]: Waiting for Status
[INFO] [1550382522.624975, 126.339000]: Got Status:
[INFO] [1550382522.625348, 126.339000]: 3
[INFO] [1550382524.511702, 126.504000]: Got Nextiteration points
[INFO] [1550382524.512150, 126.504000]: Published Position
[INFO] [1550382524.512511, 126.504000]: Points of Robot 2
[INFO] [1550382524.512805, 126.504000]: 2.74
[INFO] [1550382524.514386, 126.504000]: 4.56
[INFO] [1550382524.514691, 126.504000]: Goal Position is:
[INFO] [1550382524.516941, 126.504000]: 2.35774309581
[INFO] [1550382524.517269, 126.504000]: 4.14826231399
[INFO] [1550382524.519538, 126.504000]: FinishedIteration
[INFO] [1550382524.523116, 126.505000]: 2.26217886976
[INFO] [1550382524.523818, 126.505000]: 4.04532789248
[INFO] [1550382524.524547, 126.505000]: 5
[INFO] [1550382524.525173, 126.505000]: Waiting for next iteration value:
[INFO] [1550382524.525826, 126.505000]: 0
[INFO] [1550382524.526424, 126.505000]: 6
[INFO] [1550382524.527023, 126.505000]: 0
[INFO] [1550382528.168139, 126.738000]: Got Location from Robot2
[INFO] [1550382528.168493, 126.738000]: 2.7@4.47
[INFO] [1550382531.249967, 126.938000]: Got Status:
[INFO] [1550382531.250349, 126.938000]: 3
[INFO] [1550382533.525657, 127.104000]: Published Status
[INFO] [1550382533.526318, 127.104000]: Waiting for Status
[INFO] [1550382533.526588, 127.104000]: Got Nextiteration points
[INFO] [1550382533.526837, 127.104000]: Published Position
[INFO] [1550382533.527092, 127.104000]: Points of Robot 2
[INFO] [1550382533.527333, 127.104000]: 2.7
[INFO] [1550382533.527557, 127.104000]: 4.47
[INFO] [1550382533.527769, 127.104000]: Goal Position is:
[INFO] [1550382533.528450, 127.104000]: 2.34974536483
[INFO] [1550382533.532019, 127.104000]: 4.13026549242
[INFO] [1550382533.532912, 127.104000]: FinishedIteration
[INFO] [1550382533.536167, 127.104000]: 2.26218170604
[INFO] [1550382533.536956, 127.104000]: 4.04533186553
[INFO] [1550382533.537731, 127.104000]: 6
[INFO] [1550382533.541305, 127.104000]: Waiting for next iteration value:
[INFO] [1550382533.542004, 127.104000]: 0
[INFO] [1550382533.542683, 127.104000]: 7
[INFO] [1550382533.544239, 127.104000]: 0
